Desc	Orthogroup	AmyTra	ArcPla	BomMor	DanPle	EupSim	GynQin	HelArm	LymMon	ManSex	OpeBru	OrgAnt	PluXyl	SpoLit	TriNi
(null)	OG0000306	2	5	1	1	2	2	2	2	6	2	2	1	6	2
(null)	OG0000307	4	2	3	3	2	3	3	2	3	1	3	2	2	3
(null)	OG0000308	3	1	0	0	0	1	0	0	0	31	0	0	0	0
(null)	OG0000309	6	0	0	0	0	3	1	0	0	6	0	3	6	11
(null)	OG0000310	2	3	3	2	2	3	2	2	6	2	2	2	3	2
(null)	OG0000311	2	2	4	3	2	2	3	3	2	2	2	2	3	4
(null)	OG0000312	1	2	6	8	0	2	3	1	2	1	0	1	5	4
(null)	OG0000313	1	14	2	0	1	1	2	1	6	1	0	0	5	2
(null)	OG0000314	3	4	2	3	1	4	2	3	2	2	1	2	3	4
(null)	OG0000315	4	5	0	0	0	2	0	0	1	19	0	2	3	0
(null)	OG0000316	2	5	3	0	3	2	3	2	4	3	2	1	3	3
(null)	OG0000317	2	0	1	5	1	1	2	1	3	8	1	6	2	3
(null)	OG0000318	1	0	8	0	2	16	0	1	3	1	0	3	1	0
(null)	OG0000319	2	2	4	4	1	2	3	2	5	5	1	1	2	2
(null)	OG0000320	1	1	1	1	1	23	1	1	1	1	1	1	1	1
(null)	OG0000321	2	4	1	2	2	2	2	2	9	1	2	3	2	2
(null)	OG0000322	0	8	0	0	1	0	0	0	0	25	2	0	0	0
(null)	OG0000323	0	0	9	0	0	0	2	3	1	2	4	14	0	1
(null)	OG0000324	7	2	2	2	1	3	2	3	3	2	1	3	2	2
(null)	OG0000325	2	3	3	2	1	2	4	3	4	2	2	2	3	2
(null)	OG0000326	3	3	0	2	2	6	1	3	2	2	3	2	3	3
(null)	OG0000327	2	1	0	0	0	8	0	5	0	3	2	13	0	1
(null)	OG0000328	2	3	3	2	2	1	3	2	5	4	2	2	2	2
(null)	OG0000329	1	2	0	0	2	4	2	8	4	1	3	2	5	1
(null)	OG0000330	0	2	1	1	5	6	1	4	1	1	3	3	1	6
(null)	OG0000331	0	1	1	0	0	0	0	33	0	0	0	0	0	0
(null)	OG0000332	0	2	0	0	1	2	5	2	10	0	2	2	6	3
(null)	OG0000333	4	2	2	2	2	3	3	2	2	4	2	1	3	2
(null)	OG0000334	3	2	2	1	2	2	3	2	2	2	3	4	2	4
(null)	OG0000335	7	6	1	2	2	1	4	3	1	4	2	0	0	1
(null)	OG0000336	7	2	1	0	3	1	1	0	2	3	4	2	3	5
(null)	OG0000337	3	3	1	2	2	2	2	3	2	4	2	4	2	2
(null)	OG0000338	3	3	2	4	1	3	2	1	3	2	0	3	3	4
(null)	OG0000339	2	6	1	0	3	3	2	2	2	2	4	3	2	2
(null)	OG0000340	1	4	0	1	4	3	2	3	5	1	6	1	2	1
(null)	OG0000341	3	3	1	1	0	2	6	1	4	7	2	1	2	1
(null)	OG0000342	2	3	3	4	0	3	3	1	3	3	0	3	3	3
(null)	OG0000343	2	0	1	5	0	0	3	0	13	2	1	0	3	4
(null)	OG0000344	1	2	2	2	2	3	2	3	4	1	3	2	4	3
(null)	OG0000345	2	4	2	2	2	1	1	5	7	1	1	2	2	2
(null)	OG0000346	2	3	0	1	2	4	4	1	1	1	5	2	4	4
(null)	OG0000347	4	3	3	2	1	2	2	2	3	1	2	3	4	2
(null)	OG0000348	3	3	3	3	1	3	3	1	3	1	1	3	3	3
(null)	OG0000349	1	1	1	2	1	0	8	1	5	1	1	1	7	4
(null)	OG0000350	3	3	1	4	2	3	3	2	2	4	2	1	2	2
(null)	OG0000351	1	3	1	6	4	2	1	2	4	4	2	2	1	1
(null)	OG0000352	1	3	2	2	3	7	1	3	1	2	3	3	2	1
(null)	OG0000353	0	2	1	0	1	0	6	1	0	3	1	1	14	4
(null)	OG0000354	1	0	2	3	3	1	4	2	2	2	4	1	5	3
(null)	OG0000355	4	2	2	5	2	3	2	2	3	1	2	1	2	2
